Sensor Name,X,Y,US AQI,source
RENET1,121.06896579265596,14.647362139585352,16.0,UPCARE
RENET3,121.06237,14.6475,16.0,UPCARE
RENET4,121.06453,14.66071,27.0,UPCARE
BAGUIO2,120.597128,16.410988,10.0,UPCARE
BAGUIO1,120.595146,16.413536,35.0,UPCARE
RENET5,121.073771,14.657549,16.0,UPCARE
RENET6,121.069258,14.657391,27.0,UPCARE
RENET2,121.07100000000001,14.6498,15.0,UPCARE
EMB_NCR_V2_1,121.05784600813705,14.563822649153394,56.0,UPCARE
EMB_NCR_V2_2,120.98100000000001,14.5924,30.0,UPCARE
EMB_NCR_V2_3,121.04100000000001,14.5356,24.0,UPCARE
EMB_NCR_V2_4,121.065608,14.572515000000001,155.0,UPCARE
RENET7,121.07375,14.65201,12.0,UPCARE
EMB_CAR_1,120.590249,16.448599,151.0,UPCARE
PASIG_2,121.058987,14.57744,46.0,UPCARE
PASIG_6,121.060227,14.577668,44.0,UPCARE
PASIG_7,121.078337,14.578977,161.0,UPCARE
PASIG_8,121.095717,14.613555,91.0,UPCARE
PASIG_INDOOR_1,121.060227,14.577668,43.0,UPCARE
PASIG_INDOOR_1,121.060227,14.577668,140.0,UPCARE
PASIG_INDOOR_1,121.060227,14.577668,105.0,UPCARE
